language,benchmark,size,time_ms
Rust,Insert,100,0.0014787841652402919
Rust,Insert,1000,0.012922674275900745
Rust,Insert,10000,0.1363203751209869
Rust,Insert,100000,1.2672483024641408
Rust,Insert+Remove,100,0.006446434074378025
Rust,Insert+Remove,1000,0.08916531560743406
Rust,Insert+Remove,10000,1.2585018496298308
Rust,Insert+Remove,100000,16.45825166
